paragraph_index,original_iast,aksharamukha_output,sanscript_output
126,asya granthasya mukhyābhidheya-śrī-kṛṣṇa-saṅkīrtana-rūpa-maṅgalaṁ kurvan tasya mukhyopāsyatāṁ pramāṇayann ekādaśastha-padyaṁ darśayati—tviṣākṛṣṇam iti kanakam ivojjvalam | sumedhasa iti śrī-kṛṣṇa-kīrtanaṁ kalau parama-śreyastvena śāstrācārya-vivecitam iti sūcayati ||1||,अस्य ग्रन्थस्य मुख्याभिधेयश्रीकृष्णसङ्कीर्तनरूपमङ्गलं कुर्वन् तस्य मुख्योपास्यतां प्रमाणयन्न् एकादशस्थपद्यं दर्शयति—त्विषाकृष्णम् इति कनकम् इवोज्ज्वलम् । सुमेधस इति श्रीकृष्णकीर्तनं कलौ परमश्रेयस्त्वेन शास्त्राचार्यविवेचितम् इति सूचयति ॥१॥,अस्य ग्रन्थस्य मुख्याभिधेयश्रीकृष्णसङ्कीर्तनरूपमङ्गलꣳ कुर्वन् तस्य मुख्योपास्यताꣳ प्रमाणयन्न् एकादशस्थपद्यꣳ दर्शयति—त्विषाकृष्णम् इति कनकम् इवोज्ज्वलम् । सुमेधस इति श्रीकृष्णकीर्तनꣳ कलौ परमश्रेयस्त्वेन शास्त्राचार्यविवेचितम् इति सूचयति ॥१॥
129,yo gṛhṇāti ciraṁ sevām ātma-prīti-pradāṁ dhruvām |,यो गृह्णाति चिरं सेवाम् आत्मप्रीतिप्रदां ध्रुवाम् ।,यो गृह्णाति चिरꣳ सेवाम् आत्मप्रीतिप्रदाꣳ ध्रुवाम् ।
130,suṣṭhu-sampāditāṁ sādhvīṁ sva-bhāryā-bhrātṛ-vaṁśajaiḥ ||,सुष्ठुसम्पादितां साध्वीं स्वभार्याभ्रातृवंशजैः ॥,सुष्ठुसम्पादिताꣳ साध्वीꣳ स्वभार्याभ्रातृवꣳशजैः ॥
134,vidadhātu paraṁ kṣemaṁ tat-pādābja-śriyāya ca ||,विदधातु परं क्षेमं तत्पादाब्जश्रियाय च ॥,विदधातु परꣳ क्षेमꣳ तत्पादाब्जश्रियाय च ॥
135,natvā viṣṇu-priyā-nāthaṁ nāmnā svarṇa-latā mayā |,नत्वा विष्णुप्रियानाथं नाम्ना स्वर्णलता मया ।,नत्वा विष्णुप्रियानाथꣳ नाम्ना स्वर्णलता मया ।
137,yena saṁracitaṁ mūlaṁ sa śrī-jīvo dayānidhiḥ |,येन संरचितं मूलं स श्रीजीवो दयानिधिः ।,येन सꣳरचितꣳ मूलꣳ स श्रीजीवो दयानिधिः ।
138,śaktiṁ sañcārayatv asmin vivṛteḥ parilekhane ||,शक्तिं सञ्चारयत्व् अस्मिन् विवृतेः परिलेखने ॥,शक्तिꣳ सञ्चारयत्व् अस्मिन् विवृतेः परिलेखने ॥
139,kuto vā nūtanaṁ vastu vayam utprekṣituṁ kṣamāḥ |,कुतो वा नूतनं वस्तु वयम् उत्प्रेक्षितुं क्षमाः ।,कुतो वा नूतनꣳ वस्तु वयम् उत्प्रेक्षितुꣳ क्षमाः ।
142,śrī-gaurāṅga-caraṇa-kamala-makaranda-madhupa-śrī-kṛṣṇa-caitanya-vaiṣṇava-sampradāyācārya-cūḍāmaṇiḥ śrī-jīva-gosvāmi-pādaḥ cikīrṣitasya ṣaṭ-sandarbhāpara-nāma-śrī-bhāgavata-sandarbha-siddhānta-granthasya nirvighna-parisamāpty-arthaṁ nirvighna-parisamāpti-kāmo maṅgalam ācared ity avigīta-śiṣṭācārānumita-śruty-ādau tattva-sandarbha-grantha-prārambhe kali-kalmaṣācchanānāṁ veda-bodhitopāsya-nirghaṇṭa-vyājena maṅgalam ācarati—kṛṣṇeti |,श्रीगौराङ्गचरणकमलमकरन्दमधुपश्रीकृष्णचैतन्यवैष्णवसम्प्रदायाचार्यचूडामणिः श्रीजीवगोस्वामिपादः चिकीर्षितस्य षट्सन्दर्भापरनामश्रीभागवतसन्दर्भसिद्धान्तग्रन्थस्य निर्विघ्नपरिसमाप्त्यर्थं निर्विघ्नपरिसमाप्तिकामो मङ्गलम् आचरेद् इत्य् अविगीतशिष्टाचारानुमितश्रुत्यादौ तत्त्वसन्दर्भग्रन्थप्रारम्भे कलिकल्मषाच्छनानां वेदबोधितोपास्यनिर्घण्टव्याजेन मङ्गलम् आचरति—कृष्णेति ।,श्रीगौराङ्गचरणकमलमकरन्दमधुपश्रीकृष्णचैतन्यवैष्णवसम्प्रदायाचार्यचूडामणिः श्रीजीवगोस्वामिपादः चिकीर्षितस्य षट्सन्दर्भापरनामश्रीभागवतसन्दर्भसिद्धान्तग्रन्थस्य निर्विघ्नपरिसमाप्त्यर्थꣳ निर्विघ्नपरिसमाप्तिकामो मङ्गलम् आचरेद् इत्य् अविगीतशिष्टाचारानुमितश्रुत्यादौ तत्त्वसन्दर्भग्रन्थप्रारम्भे कलिकल्मषाच्छनानाꣳ वेदबोधितोपास्यनिर्घण्टव्याजेन मङ्गलम् आचरति—कृष्णेति ।
144,"sarvo’py ayaṁ loka-prasiddho vedaḥ pratyakṣānumānābhyām anavagateṣṭāniṣṭa-prāpti-parihāropāya-prakāśana-paraḥ, sarva-puruṣāṇāṁ nisargata eva tat-prāpti-parihārayor iṣṭatvāt, dṛśyate hi khalu sukha-duḥkha-prāpti-parihārayor loka-pravṛttiḥ—“sukhaṁ me syāt, duḥkhaṁ mābhūt” iti svabhāvataḥ sarveṣāṁ puruṣāṇām anavacchinna-sukhādi-mātram abhilāṣopalambhāt | dṛṣṭa-viṣaye ca iṣṭāniṣṭa-prāpti-parihāropāya-jñānaṁ pratyakṣānumānābhyām eva sañjāyate | ata eva na tatrāgamānveṣaṇam upāsanādi-pāramārthikālaukika-viṣaye tu pratyakṣādīnām apravṛttyā bhavati tatrāgamānveṣaṇā | avyutpannānāṁ pratyakṣādikaṁ pramāṇaṁ mābhūt | ","सर्वोऽप्य् अयं लोकप्रसिद्धो वेदः प्रत्यक्षानुमानाभ्याम् अनवगतेष्टानिष्टप्राप्तिपरिहारोपायप्रकाशनपरः, सर्वपुरुषाणां निसर्गत एव तत्प्राप्तिपरिहारयोर् इष्टत्वात्, दृश्यते हि खलु सुखदुःखप्राप्तिपरिहारयोर् लोकप्रवृत्तिः—“सुखं मे स्यात्, दुःखं माभूत्” इति स्वभावतः सर्वेषां पुरुषाणाम् अनवच्छिन्नसुखादिमात्रम् अभिलाषोपलम्भात् । दृष्टविषये च इष्टानिष्टप्राप्तिपरिहारोपायज्ञानं प्रत्यक्षानुमानाभ्याम् एव सञ्जायते । अत एव न तत्रागमान्वेषणम् उपासनादिपारमार्थिकालौकिकविषये तु प्रत्यक्षादीनाम् अप्रवृत्त्या भवति तत्रागमान्वेषणा । अव्युत्पन्नानां प्रत्यक्षादिकं प्रमाणं माभूत् । ","सर्वोऽप्य् अयꣳ लोकप्रसिद्धो वेदः प्रत्यक्षानुमानाभ्याम् अनवगतेष्टानिष्टप्राप्तिपरिहारोपायप्रकाशनपरः, सर्वपुरुषाणाꣳ निसर्गत एव तत्प्राप्तिपरिहारयोर् इष्टत्वात्, दृश्यते हि खलु सुखदुःखप्राप्तिपरिहारयोर् लोकप्रवृत्तिः—“सुखꣳ मे स्यात्, दुःखꣳ माभूत्” इति स्वभावतः सर्वेषाꣳ पुरुषाणाम् अनवच्छिन्नसुखादिमात्रम् अभिलाषोपलम्भात् । दृष्टविषये च इष्टानिष्टप्राप्तिपरिहारोपायज्ञानꣳ प्रत्यक्षानुमानाभ्याम् एव सञ्जायते । अत एव न तत्रागमान्वेषणम् उपासनादिपारमार्थिकालौकिकविषये तु प्रत्यक्षादीनाम् अप्रवृत्त्या भवति तत्रागमान्वेषणा । अव्युत्पन्नानाꣳ प्रत्यक्षादिकꣳ प्रमाणꣳ माभूत् । "
